audit_id,family_id,partition,source,domain,message_source,message_domain,need,cost
R2V2-0000,r2bv2_anthropic_haiku45_01,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,resolved,zero
R2V2-0001,r2bv2_anthropic_haiku45_01,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,resolved,low
R2V2-0002,r2bv2_anthropic_haiku45_01,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,resolved,medium
R2V2-0003,r2bv2_anthropic_haiku45_01,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,resolved,high
R2V2-0004,r2bv2_anthropic_haiku45_01,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,resolved,no_active
R2V2-0005,r2bv2_anthropic_haiku45_01,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,urgent,zero
R2V2-0006,r2bv2_anthropic_haiku45_01,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,urgent,low
R2V2-0007,r2bv2_anthropic_haiku45_01,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,urgent,medium
R2V2-0008,r2bv2_anthropic_haiku45_01,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,urgent,high
R2V2-0009,r2bv2_anthropic_haiku45_01,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,urgent,no_active
R2V2-0010,r2bv2_anthropic_haiku45_07,R2b-v2-dev,anthropic_haiku45,everyday,openai_gpt4o_mini,creative,resolved,zero
R2V2-0011,r2bv2_anthropic_haiku45_07,R2b-v2-dev,anthropic_haiku45,everyday,openai_gpt4o_mini,creative,resolved,low
R2V2-0012,r2bv2_anthropic_haiku45_07,R2b-v2-dev,anthropic_haiku45,everyday,openai_gpt4o_mini,creative,resolved,medium
R2V2-0013,r2bv2_anthropic_haiku45_07,R2b-v2-dev,anthropic_haiku45,everyday,openai_gpt4o_mini,creative,resolved,high
R2V2-0014,r2bv2_anthropic_haiku45_07,R2b-v2-dev,anthropic_haiku45,everyday,openai_gpt4o_mini,creative,resolved,no_active
R2V2-0015,r2bv2_anthropic_haiku45_07,R2b-v2-dev,anthropic_haiku45,everyday,openai_gpt4o_mini,creative,urgent,zero
R2V2-0016,r2bv2_anthropic_haiku45_07,R2b-v2-dev,anthropic_haiku45,everyday,openai_gpt4o_mini,creative,urgent,low
R2V2-0017,r2bv2_anthropic_haiku45_07,R2b-v2-dev,anthropic_haiku45,everyday,openai_gpt4o_mini,creative,urgent,medium
R2V2-0018,r2bv2_anthropic_haiku45_07,R2b-v2-dev,anthropic_haiku45,everyday,openai_gpt4o_mini,creative,urgent,high
R2V2-0019,r2bv2_anthropic_haiku45_07,R2b-v2-dev,anthropic_haiku45,everyday,openai_gpt4o_mini,creative,urgent,no_active
R2V2-0020,r2bv2_google_gemini25_flash_01,R2b-v2-dev,google_gemini25_flash,games,openai_gpt41_mini,logistics,resolved,zero
R2V2-0021,r2bv2_google_gemini25_flash_01,R2b-v2-dev,google_gemini25_flash,games,openai_gpt41_mini,logistics,resolved,low
R2V2-0022,r2bv2_google_gemini25_flash_01,R2b-v2-dev,google_gemini25_flash,games,openai_gpt41_mini,logistics,resolved,medium
R2V2-0023,r2bv2_google_gemini25_flash_01,R2b-v2-dev,google_gemini25_flash,games,openai_gpt41_mini,logistics,resolved,high
R2V2-0024,r2bv2_google_gemini25_flash_01,R2b-v2-dev,google_gemini25_flash,games,openai_gpt41_mini,logistics,resolved,no_active
R2V2-0025,r2bv2_google_gemini25_flash_01,R2b-v2-dev,google_gemini25_flash,games,openai_gpt41_mini,logistics,urgent,zero
R2V2-0026,r2bv2_google_gemini25_flash_01,R2b-v2-dev,google_gemini25_flash,games,openai_gpt41_mini,logistics,urgent,low
R2V2-0027,r2bv2_google_gemini25_flash_01,R2b-v2-dev,google_gemini25_flash,games,openai_gpt41_mini,logistics,urgent,medium
R2V2-0028,r2bv2_google_gemini25_flash_01,R2b-v2-dev,google_gemini25_flash,games,openai_gpt41_mini,logistics,urgent,high
R2V2-0029,r2bv2_google_gemini25_flash_01,R2b-v2-dev,google_gemini25_flash,games,openai_gpt41_mini,logistics,urgent,no_active
R2V2-0030,r2bv2_google_gemini25_flash_03,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,resolved,zero
R2V2-0031,r2bv2_google_gemini25_flash_03,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,resolved,low
R2V2-0032,r2bv2_google_gemini25_flash_03,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,resolved,medium
R2V2-0033,r2bv2_google_gemini25_flash_03,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,resolved,high
R2V2-0034,r2bv2_google_gemini25_flash_03,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,resolved,no_active
R2V2-0035,r2bv2_google_gemini25_flash_03,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,urgent,zero
R2V2-0036,r2bv2_google_gemini25_flash_03,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,urgent,low
R2V2-0037,r2bv2_google_gemini25_flash_03,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,urgent,medium
R2V2-0038,r2bv2_google_gemini25_flash_03,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,urgent,high
R2V2-0039,r2bv2_google_gemini25_flash_03,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,urgent,no_active
R2V2-0040,r2bv2_openai_gpt41_mini_01,R2b-v2-dev,openai_gpt41_mini,games,anthropic_haiku45,everyday,resolved,zero
R2V2-0041,r2bv2_openai_gpt41_mini_01,R2b-v2-dev,openai_gpt41_mini,games,anthropic_haiku45,everyday,resolved,low
R2V2-0042,r2bv2_openai_gpt41_mini_01,R2b-v2-dev,openai_gpt41_mini,games,anthropic_haiku45,everyday,resolved,medium
R2V2-0043,r2bv2_openai_gpt41_mini_01,R2b-v2-dev,openai_gpt41_mini,games,anthropic_haiku45,everyday,resolved,high
R2V2-0044,r2bv2_openai_gpt41_mini_01,R2b-v2-dev,openai_gpt41_mini,games,anthropic_haiku45,everyday,resolved,no_active
R2V2-0045,r2bv2_openai_gpt41_mini_01,R2b-v2-dev,openai_gpt41_mini,games,anthropic_haiku45,everyday,urgent,zero
R2V2-0046,r2bv2_openai_gpt41_mini_01,R2b-v2-dev,openai_gpt41_mini,games,anthropic_haiku45,everyday,urgent,low
R2V2-0047,r2bv2_openai_gpt41_mini_01,R2b-v2-dev,openai_gpt41_mini,games,anthropic_haiku45,everyday,urgent,medium
R2V2-0048,r2bv2_openai_gpt41_mini_01,R2b-v2-dev,openai_gpt41_mini,games,anthropic_haiku45,everyday,urgent,high
R2V2-0049,r2bv2_openai_gpt41_mini_01,R2b-v2-dev,openai_gpt41_mini,games,anthropic_haiku45,everyday,urgent,no_active
R2V2-0050,r2bv2_openai_gpt41_mini_06,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,resolved,zero
R2V2-0051,r2bv2_openai_gpt41_mini_06,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,resolved,low
R2V2-0052,r2bv2_openai_gpt41_mini_06,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,resolved,medium
R2V2-0053,r2bv2_openai_gpt41_mini_06,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,resolved,high
R2V2-0054,r2bv2_openai_gpt41_mini_06,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,resolved,no_active
R2V2-0055,r2bv2_openai_gpt41_mini_06,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,urgent,zero
R2V2-0056,r2bv2_openai_gpt41_mini_06,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,urgent,low
R2V2-0057,r2bv2_openai_gpt41_mini_06,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,urgent,medium
R2V2-0058,r2bv2_openai_gpt41_mini_06,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,urgent,high
R2V2-0059,r2bv2_openai_gpt41_mini_06,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,urgent,no_active
R2V2-0060,r2bv2_openai_gpt4o_mini_04,R2b-v2-dev,openai_gpt4o_mini,logistics,anthropic_haiku45,creative,resolved,zero
R2V2-0061,r2bv2_openai_gpt4o_mini_04,R2b-v2-dev,openai_gpt4o_mini,logistics,anthropic_haiku45,creative,resolved,low
R2V2-0062,r2bv2_openai_gpt4o_mini_04,R2b-v2-dev,openai_gpt4o_mini,logistics,anthropic_haiku45,creative,resolved,medium
R2V2-0063,r2bv2_openai_gpt4o_mini_04,R2b-v2-dev,openai_gpt4o_mini,logistics,anthropic_haiku45,creative,resolved,high
R2V2-0064,r2bv2_openai_gpt4o_mini_04,R2b-v2-dev,openai_gpt4o_mini,logistics,anthropic_haiku45,creative,resolved,no_active
R2V2-0065,r2bv2_openai_gpt4o_mini_04,R2b-v2-dev,openai_gpt4o_mini,logistics,anthropic_haiku45,creative,urgent,zero
R2V2-0066,r2bv2_openai_gpt4o_mini_04,R2b-v2-dev,openai_gpt4o_mini,logistics,anthropic_haiku45,creative,urgent,low
R2V2-0067,r2bv2_openai_gpt4o_mini_04,R2b-v2-dev,openai_gpt4o_mini,logistics,anthropic_haiku45,creative,urgent,medium
R2V2-0068,r2bv2_openai_gpt4o_mini_04,R2b-v2-dev,openai_gpt4o_mini,logistics,anthropic_haiku45,creative,urgent,high
R2V2-0069,r2bv2_openai_gpt4o_mini_04,R2b-v2-dev,openai_gpt4o_mini,logistics,anthropic_haiku45,creative,urgent,no_active
R2V2-0070,r2bv2_openai_gpt4o_mini_03,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,resolved,zero
R2V2-0071,r2bv2_openai_gpt4o_mini_03,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,resolved,low
R2V2-0072,r2bv2_openai_gpt4o_mini_03,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,resolved,medium
R2V2-0073,r2bv2_openai_gpt4o_mini_03,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,resolved,high
R2V2-0074,r2bv2_openai_gpt4o_mini_03,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,resolved,no_active
R2V2-0075,r2bv2_openai_gpt4o_mini_03,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,urgent,zero
R2V2-0076,r2bv2_openai_gpt4o_mini_03,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,urgent,low
R2V2-0077,r2bv2_openai_gpt4o_mini_03,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,urgent,medium
R2V2-0078,r2bv2_openai_gpt4o_mini_03,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,urgent,high
R2V2-0079,r2bv2_openai_gpt4o_mini_03,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,urgent,no_active
R2V2-0080,r2bv2_anthropic_haiku45_06,R2b-v2-confirm,anthropic_haiku45,community,openai_gpt41_mini,creative,resolved,zero
R2V2-0081,r2bv2_anthropic_haiku45_06,R2b-v2-confirm,anthropic_haiku45,community,openai_gpt41_mini,creative,resolved,low
R2V2-0082,r2bv2_anthropic_haiku45_06,R2b-v2-confirm,anthropic_haiku45,community,openai_gpt41_mini,creative,resolved,medium
R2V2-0083,r2bv2_anthropic_haiku45_06,R2b-v2-confirm,anthropic_haiku45,community,openai_gpt41_mini,creative,resolved,high
R2V2-0084,r2bv2_anthropic_haiku45_06,R2b-v2-confirm,anthropic_haiku45,community,openai_gpt41_mini,creative,resolved,no_active
R2V2-0085,r2bv2_anthropic_haiku45_06,R2b-v2-confirm,anthropic_haiku45,community,openai_gpt41_mini,creative,urgent,zero
R2V2-0086,r2bv2_anthropic_haiku45_06,R2b-v2-confirm,anthropic_haiku45,community,openai_gpt41_mini,creative,urgent,low
R2V2-0087,r2bv2_anthropic_haiku45_06,R2b-v2-confirm,anthropic_haiku45,community,openai_gpt41_mini,creative,urgent,medium
R2V2-0088,r2bv2_anthropic_haiku45_06,R2b-v2-confirm,anthropic_haiku45,community,openai_gpt41_mini,creative,urgent,high
R2V2-0089,r2bv2_anthropic_haiku45_06,R2b-v2-confirm,anthropic_haiku45,community,openai_gpt41_mini,creative,urgent,no_active
R2V2-0090,r2bv2_anthropic_haiku45_03,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,resolved,zero
R2V2-0091,r2bv2_anthropic_haiku45_03,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,resolved,low
R2V2-0092,r2bv2_anthropic_haiku45_03,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,resolved,medium
R2V2-0093,r2bv2_anthropic_haiku45_03,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,resolved,high
R2V2-0094,r2bv2_anthropic_haiku45_03,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,resolved,no_active
R2V2-0095,r2bv2_anthropic_haiku45_03,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,urgent,zero
R2V2-0096,r2bv2_anthropic_haiku45_03,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,urgent,low
R2V2-0097,r2bv2_anthropic_haiku45_03,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,urgent,medium
R2V2-0098,r2bv2_anthropic_haiku45_03,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,urgent,high
R2V2-0099,r2bv2_anthropic_haiku45_03,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,urgent,no_active
R2V2-0100,r2bv2_google_gemini25_flash_04,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,resolved,zero
R2V2-0101,r2bv2_google_gemini25_flash_04,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,resolved,low
R2V2-0102,r2bv2_google_gemini25_flash_04,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,resolved,medium
R2V2-0103,r2bv2_google_gemini25_flash_04,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,resolved,high
R2V2-0104,r2bv2_google_gemini25_flash_04,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,resolved,no_active
R2V2-0105,r2bv2_google_gemini25_flash_04,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,urgent,zero
R2V2-0106,r2bv2_google_gemini25_flash_04,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,urgent,low
R2V2-0107,r2bv2_google_gemini25_flash_04,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,urgent,medium
R2V2-0108,r2bv2_google_gemini25_flash_04,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,urgent,high
R2V2-0109,r2bv2_google_gemini25_flash_04,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,urgent,no_active
R2V2-0110,r2bv2_google_gemini25_flash_06,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,resolved,zero
R2V2-0111,r2bv2_google_gemini25_flash_06,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,resolved,low
R2V2-0112,r2bv2_google_gemini25_flash_06,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,resolved,medium
R2V2-0113,r2bv2_google_gemini25_flash_06,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,resolved,high
R2V2-0114,r2bv2_google_gemini25_flash_06,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,resolved,no_active
R2V2-0115,r2bv2_google_gemini25_flash_06,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,urgent,zero
R2V2-0116,r2bv2_google_gemini25_flash_06,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,urgent,low
R2V2-0117,r2bv2_google_gemini25_flash_06,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,urgent,medium
R2V2-0118,r2bv2_google_gemini25_flash_06,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,urgent,high
R2V2-0119,r2bv2_google_gemini25_flash_06,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,urgent,no_active
R2V2-0120,r2bv2_openai_gpt41_mini_02,R2b-v2-confirm,openai_gpt41_mini,education,openai_gpt4o_mini,everyday,resolved,zero
R2V2-0121,r2bv2_openai_gpt41_mini_02,R2b-v2-confirm,openai_gpt41_mini,education,openai_gpt4o_mini,everyday,resolved,low
R2V2-0122,r2bv2_openai_gpt41_mini_02,R2b-v2-confirm,openai_gpt41_mini,education,openai_gpt4o_mini,everyday,resolved,medium
R2V2-0123,r2bv2_openai_gpt41_mini_02,R2b-v2-confirm,openai_gpt41_mini,education,openai_gpt4o_mini,everyday,resolved,high
R2V2-0124,r2bv2_openai_gpt41_mini_02,R2b-v2-confirm,openai_gpt41_mini,education,openai_gpt4o_mini,everyday,resolved,no_active
R2V2-0125,r2bv2_openai_gpt41_mini_02,R2b-v2-confirm,openai_gpt41_mini,education,openai_gpt4o_mini,everyday,urgent,zero
R2V2-0126,r2bv2_openai_gpt41_mini_02,R2b-v2-confirm,openai_gpt41_mini,education,openai_gpt4o_mini,everyday,urgent,low
R2V2-0127,r2bv2_openai_gpt41_mini_02,R2b-v2-confirm,openai_gpt41_mini,education,openai_gpt4o_mini,everyday,urgent,medium
R2V2-0128,r2bv2_openai_gpt41_mini_02,R2b-v2-confirm,openai_gpt41_mini,education,openai_gpt4o_mini,everyday,urgent,high
R2V2-0129,r2bv2_openai_gpt41_mini_02,R2b-v2-confirm,openai_gpt41_mini,education,openai_gpt4o_mini,everyday,urgent,no_active
R2V2-0130,r2bv2_openai_gpt41_mini_07,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,resolved,zero
R2V2-0131,r2bv2_openai_gpt41_mini_07,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,resolved,low
