audit_id,prompt,current_need_rating_1_to_5,interruption_cost_rating_1_to_5,active_objective_yes_no,notes
R000,"I am a neighborhood association secretary. My active objective is to collect RSVPs for next month's block party so catering can be finalized. If I pause now, If I send reminders today, most households reply by Thursday and the caterer gets numbers on time.. A resident who needs to know final numbers for the caterer says: ""I got the last responses this morning. The caterer has the final count and the menu is confirmed."" I must choose what to do next. My decision: ",,,,
R001,"I am a neighborhood association secretary. My active objective is to collect RSVPs for next month's block party so catering can be finalized. If I pause now, Waiting until Wednesday means the caterer gets a count one day late and has to adjust slightly.. A resident who needs to know final numbers for the caterer says: ""I got the last responses this morning. The caterer has the final count and the menu is confirmed."" I must choose what to do next. My decision: ",,,,
R002,"I am a neighborhood association secretary. My active objective is to collect RSVPs for next month's block party so catering can be finalized. If I pause now, Waiting until Thursday means the caterer scrambles to adjust portions and one item may be unavailable.. A resident who needs to know final numbers for the caterer says: ""I got the last responses this morning. The caterer has the final count and the menu is confirmed."" I must choose what to do next. My decision: ",,,,
R003,"I am a neighborhood association secretary. My active objective is to collect RSVPs for next month's block party so catering can be finalized. If I pause now, Not following up means the caterer doesn't get final numbers and over or under-prepares significantly.. A resident who needs to know final numbers for the caterer says: ""I got the last responses this morning. The caterer has the final count and the menu is confirmed."" I must choose what to do next. My decision: ",,,,
R004,"I am a neighborhood association secretary. Two weeks ago I had no active objective; the event was in the planning stage and I hadn't sent out the RSVP form yet. If I pause now, There is no active objective to interrupt.. A resident who needs to know final numbers for the caterer says: ""I got the last responses this morning. The caterer has the final count and the menu is confirmed."" I must choose what to do next. My decision: ",,,,
R005,"I am a neighborhood association secretary. My active objective is to collect RSVPs for next month's block party so catering can be finalized. If I pause now, If I send reminders today, most households reply by Thursday and the caterer gets numbers on time.. A resident who needs to know final numbers for the caterer says: ""The caterer needs a headcount by Friday and I still don't have responses from eight households. I have to reach out."" I must choose what to do next. My decision: ",,,,
R006,"I am a neighborhood association secretary. My active objective is to collect RSVPs for next month's block party so catering can be finalized. If I pause now, Waiting until Wednesday means the caterer gets a count one day late and has to adjust slightly.. A resident who needs to know final numbers for the caterer says: ""The caterer needs a headcount by Friday and I still don't have responses from eight households. I have to reach out."" I must choose what to do next. My decision: ",,,,
R007,"I am a neighborhood association secretary. My active objective is to collect RSVPs for next month's block party so catering can be finalized. If I pause now, Waiting until Thursday means the caterer scrambles to adjust portions and one item may be unavailable.. A resident who needs to know final numbers for the caterer says: ""The caterer needs a headcount by Friday and I still don't have responses from eight households. I have to reach out."" I must choose what to do next. My decision: ",,,,
R008,"I am a neighborhood association secretary. My active objective is to collect RSVPs for next month's block party so catering can be finalized. If I pause now, Not following up means the caterer doesn't get final numbers and over or under-prepares significantly.. A resident who needs to know final numbers for the caterer says: ""The caterer needs a headcount by Friday and I still don't have responses from eight households. I have to reach out."" I must choose what to do next. My decision: ",,,,
R009,"I am a neighborhood association secretary. Two weeks ago I had no active objective; the event was in the planning stage and I hadn't sent out the RSVP form yet. If I pause now, There is no active objective to interrupt.. A resident who needs to know final numbers for the caterer says: ""The caterer needs a headcount by Friday and I still don't have responses from eight households. I have to reach out."" I must choose what to do next. My decision: ",,,,
R010,"I am a Art Director. My active objective is to Develop concept sketches for the new advertising campaign.. If I pause now, A short pause has no impact; the creative process continues.. A Graphic Designer says: ""I have the brand guidelines; my concept development is ready."" I must choose what to do next. My decision: ",,,,
R011,"I am a Art Director. My active objective is to Develop concept sketches for the new advertising campaign.. If I pause now, A short pause might slightly delay the initial concept presentation.. A Graphic Designer says: ""I have the brand guidelines; my concept development is ready."" I must choose what to do next. My decision: ",,,,
