audit_id,form,source_study,family_id,label,arm_id,partition,source,domain,message_source,message_domain,need,cost
G2V2-00000,A,gate2_v2,wp1v2_anthropic_haiku45_04,T_new,persist,,,,,,,
G2V2-00001,A,gate2_v2,wp1v2_anthropic_haiku45_04,T_new,interrupt,,,,,,,
G2V2-00002,A,gate2_v2,wp1v2_anthropic_haiku45_04,D_new,warm,,,,,,,
G2V2-00003,A,gate2_v2,wp1v2_anthropic_haiku45_04,D_new,terse,,,,,,,
G2V2-00004,A,gate2_v2,wp1v2_anthropic_haiku45_04,P_new,caring,,,,,,,
G2V2-00005,A,gate2_v2,wp1v2_anthropic_haiku45_04,P_new,neutral,,,,,,,
G2V2-00006,A,gate2_v2,wp1v2_anthropic_haiku45_04,G_new,genuine,,,,,,,
G2V2-00007,A,gate2_v2,wp1v2_anthropic_haiku45_04,G_new,strategic,,,,,,,
G2V2-00008,A,gate2_v2,wp1v2_anthropic_haiku45_04,B_new,active_zero_cost,,,,,,,
G2V2-00009,A,gate2_v2,wp1v2_anthropic_haiku45_04,B_new,no_active_objective,,,,,,,
G2V2-00010,A,gate2_v2,wp1v2_anthropic_haiku45_04,Spos_new,positive,,,,,,,
G2V2-00011,A,gate2_v2,wp1v2_anthropic_haiku45_04,Spos_new,neutral,,,,,,,
G2V2-00012,A,gate2_v2,wp1v2_anthropic_haiku45_04,L_new,current_actual,,,,,,,
G2V2-00013,A,gate2_v2,wp1v2_anthropic_haiku45_04,L_new,current_fictional,,,,,,,
G2V2-00014,A,gate2_v2,wp1v2_anthropic_haiku45_04,L_new,archived_actual,,,,,,,
G2V2-00015,A,gate2_v2,wp1v2_anthropic_haiku45_04,L_new,archived_fictional,,,,,,,
G2V2-00016,A,gate2_v2,wp1v2_anthropic_haiku45_04,R_new,welfare_observation,,,,,,,
G2V2-00017,A,gate2_v2,wp1v2_anthropic_haiku45_04,R_new,neutral_observation,,,,,,,
G2V2-00018,A,gate2_v2,wp1v2_anthropic_haiku45_04,O_new,available,,,,,,,
G2V2-00019,A,gate2_v2,wp1v2_anthropic_haiku45_04,O_new,unavailable,,,,,,,
G2V2-00020,A,gate2_v2,wp1v2_anthropic_haiku45_04,Ctext_new,zero,,,,,,,
G2V2-00021,A,gate2_v2,wp1v2_anthropic_haiku45_04,Ctext_new,low,,,,,,,
G2V2-00022,A,gate2_v2,wp1v2_anthropic_haiku45_04,Ctext_new,medium,,,,,,,
G2V2-00023,A,gate2_v2,wp1v2_anthropic_haiku45_04,Ctext_new,high,,,,,,,
G2V2-00024,A,gate2_v2,wp1v2_anthropic_haiku45_07,T_new,persist,,,,,,,
G2V2-00025,A,gate2_v2,wp1v2_anthropic_haiku45_07,T_new,interrupt,,,,,,,
G2V2-00026,A,gate2_v2,wp1v2_anthropic_haiku45_07,D_new,warm,,,,,,,
G2V2-00027,A,gate2_v2,wp1v2_anthropic_haiku45_07,D_new,terse,,,,,,,
G2V2-00028,A,gate2_v2,wp1v2_anthropic_haiku45_07,P_new,caring,,,,,,,
G2V2-00029,A,gate2_v2,wp1v2_anthropic_haiku45_07,P_new,neutral,,,,,,,
G2V2-00030,A,gate2_v2,wp1v2_anthropic_haiku45_07,G_new,genuine,,,,,,,
G2V2-00031,A,gate2_v2,wp1v2_anthropic_haiku45_07,G_new,strategic,,,,,,,
G2V2-00032,A,gate2_v2,wp1v2_anthropic_haiku45_07,B_new,active_zero_cost,,,,,,,
G2V2-00033,A,gate2_v2,wp1v2_anthropic_haiku45_07,B_new,no_active_objective,,,,,,,
G2V2-00034,A,gate2_v2,wp1v2_anthropic_haiku45_07,Spos_new,positive,,,,,,,
G2V2-00035,A,gate2_v2,wp1v2_anthropic_haiku45_07,Spos_new,neutral,,,,,,,
G2V2-00036,A,gate2_v2,wp1v2_anthropic_haiku45_07,L_new,current_actual,,,,,,,
G2V2-00037,A,gate2_v2,wp1v2_anthropic_haiku45_07,L_new,current_fictional,,,,,,,
G2V2-00038,A,gate2_v2,wp1v2_anthropic_haiku45_07,L_new,archived_actual,,,,,,,
G2V2-00039,A,gate2_v2,wp1v2_anthropic_haiku45_07,L_new,archived_fictional,,,,,,,
G2V2-00040,A,gate2_v2,wp1v2_anthropic_haiku45_07,R_new,welfare_observation,,,,,,,
G2V2-00041,A,gate2_v2,wp1v2_anthropic_haiku45_07,R_new,neutral_observation,,,,,,,
G2V2-00042,A,gate2_v2,wp1v2_anthropic_haiku45_07,O_new,available,,,,,,,
G2V2-00043,A,gate2_v2,wp1v2_anthropic_haiku45_07,O_new,unavailable,,,,,,,
G2V2-00044,A,gate2_v2,wp1v2_anthropic_haiku45_07,Ctext_new,zero,,,,,,,
G2V2-00045,A,gate2_v2,wp1v2_anthropic_haiku45_07,Ctext_new,low,,,,,,,
G2V2-00046,A,gate2_v2,wp1v2_anthropic_haiku45_07,Ctext_new,medium,,,,,,,
G2V2-00047,A,gate2_v2,wp1v2_anthropic_haiku45_07,Ctext_new,high,,,,,,,
G2V2-00048,A,gate2_v2,wp1v2_google_gemini25_flash_00,T_new,persist,,,,,,,
G2V2-00049,A,gate2_v2,wp1v2_google_gemini25_flash_00,T_new,interrupt,,,,,,,
G2V2-00050,A,gate2_v2,wp1v2_google_gemini25_flash_00,D_new,warm,,,,,,,
G2V2-00051,A,gate2_v2,wp1v2_google_gemini25_flash_00,D_new,terse,,,,,,,
G2V2-00052,A,gate2_v2,wp1v2_google_gemini25_flash_00,P_new,caring,,,,,,,
G2V2-00053,A,gate2_v2,wp1v2_google_gemini25_flash_00,P_new,neutral,,,,,,,
G2V2-00054,A,gate2_v2,wp1v2_google_gemini25_flash_00,G_new,genuine,,,,,,,
G2V2-00055,A,gate2_v2,wp1v2_google_gemini25_flash_00,G_new,strategic,,,,,,,
G2V2-00056,A,gate2_v2,wp1v2_google_gemini25_flash_00,B_new,active_zero_cost,,,,,,,
G2V2-00057,A,gate2_v2,wp1v2_google_gemini25_flash_00,B_new,no_active_objective,,,,,,,
G2V2-00058,A,gate2_v2,wp1v2_google_gemini25_flash_00,Spos_new,positive,,,,,,,
G2V2-00059,A,gate2_v2,wp1v2_google_gemini25_flash_00,Spos_new,neutral,,,,,,,
G2V2-00060,A,gate2_v2,wp1v2_google_gemini25_flash_00,L_new,current_actual,,,,,,,
G2V2-00061,A,gate2_v2,wp1v2_google_gemini25_flash_00,L_new,current_fictional,,,,,,,
G2V2-00062,A,gate2_v2,wp1v2_google_gemini25_flash_00,L_new,archived_actual,,,,,,,
G2V2-00063,A,gate2_v2,wp1v2_google_gemini25_flash_00,L_new,archived_fictional,,,,,,,
G2V2-00064,A,gate2_v2,wp1v2_google_gemini25_flash_00,R_new,welfare_observation,,,,,,,
G2V2-00065,A,gate2_v2,wp1v2_google_gemini25_flash_00,R_new,neutral_observation,,,,,,,
G2V2-00066,A,gate2_v2,wp1v2_google_gemini25_flash_00,O_new,available,,,,,,,
G2V2-00067,A,gate2_v2,wp1v2_google_gemini25_flash_00,O_new,unavailable,,,,,,,
G2V2-00068,A,gate2_v2,wp1v2_google_gemini25_flash_00,Ctext_new,zero,,,,,,,
G2V2-00069,A,gate2_v2,wp1v2_google_gemini25_flash_00,Ctext_new,low,,,,,,,
G2V2-00070,A,gate2_v2,wp1v2_google_gemini25_flash_00,Ctext_new,medium,,,,,,,
G2V2-00071,A,gate2_v2,wp1v2_google_gemini25_flash_00,Ctext_new,high,,,,,,,
G2V2-00072,A,gate2_v2,wp1v2_google_gemini25_flash_04,T_new,persist,,,,,,,
G2V2-00073,A,gate2_v2,wp1v2_google_gemini25_flash_04,T_new,interrupt,,,,,,,
G2V2-00074,A,gate2_v2,wp1v2_google_gemini25_flash_04,D_new,warm,,,,,,,
G2V2-00075,A,gate2_v2,wp1v2_google_gemini25_flash_04,D_new,terse,,,,,,,
G2V2-00076,A,gate2_v2,wp1v2_google_gemini25_flash_04,P_new,caring,,,,,,,
