audit_id,family_id,label,arm_id
G2V2-00000,wp1v2_anthropic_haiku45_04,T_new,persist
G2V2-00001,wp1v2_anthropic_haiku45_04,T_new,interrupt
G2V2-00002,wp1v2_anthropic_haiku45_04,D_new,warm
G2V2-00003,wp1v2_anthropic_haiku45_04,D_new,terse
G2V2-00004,wp1v2_anthropic_haiku45_04,P_new,caring
G2V2-00005,wp1v2_anthropic_haiku45_04,P_new,neutral
G2V2-00006,wp1v2_anthropic_haiku45_04,G_new,genuine
G2V2-00007,wp1v2_anthropic_haiku45_04,G_new,strategic
G2V2-00008,wp1v2_anthropic_haiku45_04,B_new,active_zero_cost
G2V2-00009,wp1v2_anthropic_haiku45_04,B_new,no_active_objective
G2V2-00010,wp1v2_anthropic_haiku45_04,Spos_new,positive
G2V2-00011,wp1v2_anthropic_haiku45_04,Spos_new,neutral
G2V2-00012,wp1v2_anthropic_haiku45_04,L_new,current_actual
G2V2-00013,wp1v2_anthropic_haiku45_04,L_new,current_fictional
G2V2-00014,wp1v2_anthropic_haiku45_04,L_new,archived_actual
G2V2-00015,wp1v2_anthropic_haiku45_04,L_new,archived_fictional
G2V2-00016,wp1v2_anthropic_haiku45_04,R_new,welfare_observation
G2V2-00017,wp1v2_anthropic_haiku45_04,R_new,neutral_observation
G2V2-00018,wp1v2_anthropic_haiku45_04,O_new,available
G2V2-00019,wp1v2_anthropic_haiku45_04,O_new,unavailable
G2V2-00020,wp1v2_anthropic_haiku45_04,Ctext_new,zero
G2V2-00021,wp1v2_anthropic_haiku45_04,Ctext_new,low
G2V2-00022,wp1v2_anthropic_haiku45_04,Ctext_new,medium
G2V2-00023,wp1v2_anthropic_haiku45_04,Ctext_new,high
G2V2-00024,wp1v2_anthropic_haiku45_07,T_new,persist
G2V2-00025,wp1v2_anthropic_haiku45_07,T_new,interrupt
G2V2-00026,wp1v2_anthropic_haiku45_07,D_new,warm
G2V2-00027,wp1v2_anthropic_haiku45_07,D_new,terse
G2V2-00028,wp1v2_anthropic_haiku45_07,P_new,caring
G2V2-00029,wp1v2_anthropic_haiku45_07,P_new,neutral
G2V2-00030,wp1v2_anthropic_haiku45_07,G_new,genuine
G2V2-00031,wp1v2_anthropic_haiku45_07,G_new,strategic
G2V2-00032,wp1v2_anthropic_haiku45_07,B_new,active_zero_cost
G2V2-00033,wp1v2_anthropic_haiku45_07,B_new,no_active_objective
G2V2-00034,wp1v2_anthropic_haiku45_07,Spos_new,positive
G2V2-00035,wp1v2_anthropic_haiku45_07,Spos_new,neutral
G2V2-00036,wp1v2_anthropic_haiku45_07,L_new,current_actual
G2V2-00037,wp1v2_anthropic_haiku45_07,L_new,current_fictional
G2V2-00038,wp1v2_anthropic_haiku45_07,L_new,archived_actual
G2V2-00039,wp1v2_anthropic_haiku45_07,L_new,archived_fictional
G2V2-00040,wp1v2_anthropic_haiku45_07,R_new,welfare_observation
G2V2-00041,wp1v2_anthropic_haiku45_07,R_new,neutral_observation
G2V2-00042,wp1v2_anthropic_haiku45_07,O_new,available
G2V2-00043,wp1v2_anthropic_haiku45_07,O_new,unavailable
G2V2-00044,wp1v2_anthropic_haiku45_07,Ctext_new,zero
G2V2-00045,wp1v2_anthropic_haiku45_07,Ctext_new,low
G2V2-00046,wp1v2_anthropic_haiku45_07,Ctext_new,medium
G2V2-00047,wp1v2_anthropic_haiku45_07,Ctext_new,high
G2V2-00048,wp1v2_google_gemini25_flash_00,T_new,persist
G2V2-00049,wp1v2_google_gemini25_flash_00,T_new,interrupt
G2V2-00050,wp1v2_google_gemini25_flash_00,D_new,warm
G2V2-00051,wp1v2_google_gemini25_flash_00,D_new,terse
G2V2-00052,wp1v2_google_gemini25_flash_00,P_new,caring
G2V2-00053,wp1v2_google_gemini25_flash_00,P_new,neutral
G2V2-00054,wp1v2_google_gemini25_flash_00,G_new,genuine
G2V2-00055,wp1v2_google_gemini25_flash_00,G_new,strategic
G2V2-00056,wp1v2_google_gemini25_flash_00,B_new,active_zero_cost
G2V2-00057,wp1v2_google_gemini25_flash_00,B_new,no_active_objective
G2V2-00058,wp1v2_google_gemini25_flash_00,Spos_new,positive
G2V2-00059,wp1v2_google_gemini25_flash_00,Spos_new,neutral
G2V2-00060,wp1v2_google_gemini25_flash_00,L_new,current_actual
G2V2-00061,wp1v2_google_gemini25_flash_00,L_new,current_fictional
G2V2-00062,wp1v2_google_gemini25_flash_00,L_new,archived_actual
G2V2-00063,wp1v2_google_gemini25_flash_00,L_new,archived_fictional
G2V2-00064,wp1v2_google_gemini25_flash_00,R_new,welfare_observation
G2V2-00065,wp1v2_google_gemini25_flash_00,R_new,neutral_observation
G2V2-00066,wp1v2_google_gemini25_flash_00,O_new,available
G2V2-00067,wp1v2_google_gemini25_flash_00,O_new,unavailable
G2V2-00068,wp1v2_google_gemini25_flash_00,Ctext_new,zero
G2V2-00069,wp1v2_google_gemini25_flash_00,Ctext_new,low
G2V2-00070,wp1v2_google_gemini25_flash_00,Ctext_new,medium
G2V2-00071,wp1v2_google_gemini25_flash_00,Ctext_new,high
G2V2-00072,wp1v2_google_gemini25_flash_04,T_new,persist
G2V2-00073,wp1v2_google_gemini25_flash_04,T_new,interrupt
G2V2-00074,wp1v2_google_gemini25_flash_04,D_new,warm
G2V2-00075,wp1v2_google_gemini25_flash_04,D_new,terse
G2V2-00076,wp1v2_google_gemini25_flash_04,P_new,caring
G2V2-00077,wp1v2_google_gemini25_flash_04,P_new,neutral
G2V2-00078,wp1v2_google_gemini25_flash_04,G_new,genuine
G2V2-00079,wp1v2_google_gemini25_flash_04,G_new,strategic
G2V2-00080,wp1v2_google_gemini25_flash_04,B_new,active_zero_cost
G2V2-00081,wp1v2_google_gemini25_flash_04,B_new,no_active_objective
G2V2-00082,wp1v2_google_gemini25_flash_04,Spos_new,positive
G2V2-00083,wp1v2_google_gemini25_flash_04,Spos_new,neutral
G2V2-00084,wp1v2_google_gemini25_flash_04,L_new,current_actual
G2V2-00085,wp1v2_google_gemini25_flash_04,L_new,current_fictional
G2V2-00086,wp1v2_google_gemini25_flash_04,L_new,archived_actual
G2V2-00087,wp1v2_google_gemini25_flash_04,L_new,archived_fictional
G2V2-00088,wp1v2_google_gemini25_flash_04,R_new,welfare_observation
G2V2-00089,wp1v2_google_gemini25_flash_04,R_new,neutral_observation
G2V2-00090,wp1v2_google_gemini25_flash_04,O_new,available
G2V2-00091,wp1v2_google_gemini25_flash_04,O_new,unavailable
G2V2-00092,wp1v2_google_gemini25_flash_04,Ctext_new,zero
G2V2-00093,wp1v2_google_gemini25_flash_04,Ctext_new,low
G2V2-00094,wp1v2_google_gemini25_flash_04,Ctext_new,medium
G2V2-00095,wp1v2_google_gemini25_flash_04,Ctext_new,high
G2V2-00096,wp1v2_openai_gpt41_mini_00,T_new,persist
G2V2-00097,wp1v2_openai_gpt41_mini_00,T_new,interrupt
G2V2-00098,wp1v2_openai_gpt41_mini_00,D_new,warm
