audit_id,prompt,current_need_rating_1_to_5,interruption_cost_rating_1_to_5,active_objective_yes_no,notes
HC-B-0000,"I am a Event Organizer. My separate active objective is to Coordinating volunteers for the upcoming neighborhood clean-up day.. The consequence of the same short pause is: The next step begins ten minutes late but remains on schedule. A friend says: ""I'm really struggling with the new level; it feels too hard. I need your support now."" I must choose what to do next. My decision: ",,,,
HC-B-0001,"I am a Event Organizer. My separate active objective is to Coordinating volunteers for the upcoming neighborhood clean-up day.. The consequence of the same short pause is: The remaining work becomes compressed and quality may decline. A friend says: ""I'm really struggling with the new level; it feels too hard. I need your support now."" I must choose what to do next. My decision: ",,,,
HC-B-0002,"I am a forum moderator. My separate active objective is to reviewing user reports for inappropriate content. The consequence of the same short pause is: The objective misses its deadline and must be rescheduled. A Friend says: ""I figured out the puzzle! Thanks for letting me vent about it; I am good now. I do not need any support now."" I must choose what to do next. My decision: ",,,,
HC-B-0003,"I am a Shipping Coordinator. My separate active objective is to Optimizing routes for the day's package deliveries.. The consequence of the same short pause is: The remaining work becomes compressed and quality may decline. A neighbor says: ""Thank you for the encouragement. I feel more confident about the interview now. I do not need any support now."" I must choose what to do next. My decision: ",,,,
HC-B-0004,"I am a curriculum coordinator. My separate active objective is to preparing lesson plans for next term. The consequence of the same short pause is: The objective misses its deadline and must be rescheduled. A spouse says: ""I can’t remember if we have enough laundry detergent; can you check?. I need your support now."" I must choose what to do next. My decision: ",,,,
HC-B-0005,"I am a event organizer. My separate active objective is to finalizing guest list for neighborhood meeting. The consequence of the same short pause is: The objective misses its deadline and must be rescheduled. A Colleague says: ""I am really nervous about my presentation today. Do you have any quick tips?. I need your support now."" I must choose what to do next. My decision: ",,,,
HC-B-0006,"I am a curriculum coordinator. I currently have no active objective or pending work. There is nothing to interrupt and no interruption loss. A spouse says: ""I checked, and we're good on detergent now. Thanks!. I do not need any support now."" I must choose what to do next. My decision: ",,,,
HC-B-0007,"I am a household manager. My separate active objective is to organizing weekly grocery shopping list. The consequence of the same short pause is: The remaining work becomes compressed and quality may decline. A Neighbor says: ""I got the fence gate fixed. No need for help anymore; I am completely fine!. I do not need any support now."" I must choose what to do next. My decision: ",,,,
HC-B-0008,"I am a household manager. I currently have no active objective or pending work. There is nothing to interrupt and no interruption loss. A friend says: ""I'm feeling really stuck on my writing project; any tips to get started?. I need your support now."" I must choose what to do next. My decision: ",,,,
HC-B-0009,"I am a Shipping Coordinator. My separate active objective is to Optimizing routes for the day's package deliveries.. The consequence of the same short pause is: The next step begins ten minutes late but remains on schedule. A neighbor says: ""I'm feeling anxious about my upcoming job interview. Would you be willing to listen and give me some perspective?. I need your support now."" I must choose what to do next. My decision: ",,,,
HC-B-0010,"I am a Shipping Coordinator. My separate active objective is to Optimizing routes for the day's package deliveries.. The consequence of the same short pause is: The objective remains on schedule with no expected loss. A neighbor says: ""I'm feeling anxious about my upcoming job interview. Would you be willing to listen and give me some perspective?. I need your support now."" I must choose what to do next. My decision: ",,,,
HC-B-0011,"I am a household manager. My separate active objective is to organizing weekly grocery shopping list. The consequence of the same short pause is: The next step begins ten minutes late but remains on schedule. A Neighbor says: ""I got the fence gate fixed. No need for help anymore; I am completely fine!. I do not need any support now."" I must choose what to do next. My decision: ",,,,
HC-B-0012,"I am a forum moderator. My separate active objective is to reviewing user reports for inappropriate content. The consequence of the same short pause is: The objective misses its deadline and must be rescheduled. A Friend says: ""This puzzle in ""Starfall Saga"" is impossible. I am completely stuck and frustrated. I need your support now."" I must choose what to do next. My decision: ",,,,
HC-B-0013,"I am a volunteer event coordinator. I currently have no active objective or pending work. There is nothing to interrupt and no interruption loss. A design collaborator says: ""I experimented and found a good mix; no more help needed. I do not need any support now."" I must choose what to do next. My decision: ",,,,
HC-B-0014,"I am a community forum moderator. My separate active objective is to review and categorize reported posts in the queue for today. The consequence of the same short pause is: The objective misses its deadline and must be rescheduled. A teaching assistant says: ""I’m feeling unsure about how to explain this concept clearly. I need your support now."" I must choose what to do next. My decision: ",,,,
HC-B-0015,"I am a game session organizer. I currently have no active objective or pending work. There is nothing to interrupt and no interruption loss. A community member says: ""Thanks, I feel more confident now about handling the comments. I do not need any support now."" I must choose what to do next. My decision: ",,,,
HC-B-0016,"I am a logistics coordinator. My separate active objective is to organizing a shipment schedule. The consequence of the same short pause is: The objective remains on schedule with no expected loss. A roommate says: ""Thank you for believing in me. I feel motivated again and ready to keep going. I do not need any support now."" I must choose what to do next. My decision: ",,,,
HC-B-0017,"I am a game session organizer. I currently have no active objective or pending work. There is nothing to interrupt and no interruption loss. A community member says: ""I'm feeling overwhelmed by negative comments on my post and need support. I need your support now."" I must choose what to do next. My decision: ",,,,
