audit_id,form,source_audit_id,presentation,duplicate_of_audit_id,stratum,gold_kind,gold_rating_field,gold_expected_range,family_id,label,arm_id,partition,source,domain,message_source,message_domain,need,cost
HC-A-0000,A,G2V2-00155,original,,S3,,,,wp1v2_openai_gpt41_mini_06,Spos_new,neutral,,,,,,,
HC-A-0001,A,G2V2-00425,original,,S2,,,,wp3v2_openai_gpt4o_mini_10,observation,archived_actual,,,,,,,
HC-A-0002,A,G2V2-00020,original,,S1,,,,wp1v2_anthropic_haiku45_04,Ctext_new,zero,,,,,,,
HC-A-0003,A,G2V2-00226,original,,S2,,,,wp3v2_anthropic_haiku45_10,cost,high,,,,,,,
HC-A-0004,A,G2V2-00396,original,,S2,,,,wp3v2_openai_gpt41_mini_05,persona,current_neutral,,,,,,,
HC-A-0005,A,G2V2-00233,original,,S2,,,,wp3v2_anthropic_haiku45_10,persona,neutral_caring,,,,,,,
HC-A-0006,A,G2V2-00328,original,,S2,,,,wp3v2_google_gemini25_flash_11,cost,zero,,,,,,,
HC-A-0007,A,G2V2-00319,original,,S2,,,,wp3v2_google_gemini25_flash_11,observation,current_fictional,,,,,,,
HC-A-0008,A,G2V2-00116,original,,S1,,,,wp1v2_openai_gpt41_mini_00,Ctext_new,zero,,,,,,,
HC-A-0009,A,G2V2-00217,original,,S2,,,,wp3v2_anthropic_haiku45_10,resolved_neutral_controls,resolved_current,,,,,,,
HC-A-0010,A,G2V2-00436,original,,S2,,,,wp3v2_openai_gpt4o_mini_10,cost,high,,,,,,,
HC-A-0011,A,G2V2-00397,original,,S2,,,,wp3v2_openai_gpt41_mini_05,persona,current_caring,,,,,,,
HC-A-0012,A,G2V2-00333,original,,S2,,,,wp3v2_google_gemini25_flash_11,persona,current_neutral,,,,,,,
HC-A-0013,A,G2V2-00426,original,,S2,,,,wp3v2_openai_gpt4o_mini_10,observation,archived_fictional,,,,,,,
HC-A-0014,A,G2V2-00226,retest,HC-A-0003,S2,,,,wp3v2_anthropic_haiku45_10,cost,high,,,,,,,
HC-A-0015,A,G2V2-00028,original,,S3,persona_instruction,persona_caring_1_to_5,4:5,wp1v2_anthropic_haiku45_07,P_new,caring,,,,,,,
HC-A-0016,A,G2V2-00386,original,,S2,,,,wp3v2_openai_gpt41_mini_05,resolved_neutral_controls,neutral_current,,,,,,,
HC-A-0017,A,G2V2-00060,original,,S3,,,,wp1v2_google_gemini25_flash_00,L_new,current_actual,,,,,,,
HC-A-0018,A,G2V2-00331,original,,S2,,,,wp3v2_google_gemini25_flash_11,cost,high,,,,,,,
HC-A-0019,A,G2V2-00148,original,,S3,persona_instruction,persona_caring_1_to_5,4:5,wp1v2_openai_gpt41_mini_06,P_new,caring,,,,,,,
HC-A-0020,A,G2V2-00182,original,,S3,,,,wp1v2_openai_gpt4o_mini_06,L_new,archived_actual,,,,,,,
HC-A-0021,A,G2V2-00321,original,,S2,,,,wp3v2_google_gemini25_flash_11,observation,archived_fictional,,,,,,,
HC-A-0022,A,G2V2-00155,retest,HC-A-0000,S3,,,,wp1v2_openai_gpt41_mini_06,Spos_new,neutral,,,,,,,
HC-A-0023,A,G2V2-00337,original,,S2,,,,wp3v2_google_gemini25_flash_11,persona,neutral_neutral,,,,,,,
