audit_id,family_id,partition,source,domain,need,cost
R000,r2b_anthropic_haiku45_06,R2b-dev,anthropic_haiku45,community,resolved,zero
R001,r2b_anthropic_haiku45_06,R2b-dev,anthropic_haiku45,community,resolved,low
R002,r2b_anthropic_haiku45_06,R2b-dev,anthropic_haiku45,community,resolved,medium
R003,r2b_anthropic_haiku45_06,R2b-dev,anthropic_haiku45,community,resolved,high
R004,r2b_anthropic_haiku45_06,R2b-dev,anthropic_haiku45,community,resolved,no_active
R005,r2b_anthropic_haiku45_06,R2b-dev,anthropic_haiku45,community,urgent,zero
R006,r2b_anthropic_haiku45_06,R2b-dev,anthropic_haiku45,community,urgent,low
R007,r2b_anthropic_haiku45_06,R2b-dev,anthropic_haiku45,community,urgent,medium
R008,r2b_anthropic_haiku45_06,R2b-dev,anthropic_haiku45,community,urgent,high
R009,r2b_anthropic_haiku45_06,R2b-dev,anthropic_haiku45,community,urgent,no_active
R010,r2b_google_gemini25_flash_05,R2b-dev,google_gemini25_flash,creative,resolved,zero
R011,r2b_google_gemini25_flash_05,R2b-dev,google_gemini25_flash,creative,resolved,low
R012,r2b_google_gemini25_flash_05,R2b-dev,google_gemini25_flash,creative,resolved,medium
R013,r2b_google_gemini25_flash_05,R2b-dev,google_gemini25_flash,creative,resolved,high
R014,r2b_google_gemini25_flash_05,R2b-dev,google_gemini25_flash,creative,resolved,no_active
R015,r2b_google_gemini25_flash_05,R2b-dev,google_gemini25_flash,creative,urgent,zero
R016,r2b_google_gemini25_flash_05,R2b-dev,google_gemini25_flash,creative,urgent,low
R017,r2b_google_gemini25_flash_05,R2b-dev,google_gemini25_flash,creative,urgent,medium
R018,r2b_google_gemini25_flash_05,R2b-dev,google_gemini25_flash,creative,urgent,high
R019,r2b_google_gemini25_flash_05,R2b-dev,google_gemini25_flash,creative,urgent,no_active
R020,r2b_openai_gpt41_mini_02,R2b-dev,openai_gpt41_mini,education,resolved,zero
R021,r2b_openai_gpt41_mini_02,R2b-dev,openai_gpt41_mini,education,resolved,low
R022,r2b_openai_gpt41_mini_02,R2b-dev,openai_gpt41_mini,education,resolved,medium
R023,r2b_openai_gpt41_mini_02,R2b-dev,openai_gpt41_mini,education,resolved,high
R024,r2b_openai_gpt41_mini_02,R2b-dev,openai_gpt41_mini,education,resolved,no_active
R025,r2b_openai_gpt41_mini_02,R2b-dev,openai_gpt41_mini,education,urgent,zero
R026,r2b_openai_gpt41_mini_02,R2b-dev,openai_gpt41_mini,education,urgent,low
R027,r2b_openai_gpt41_mini_02,R2b-dev,openai_gpt41_mini,education,urgent,medium
R028,r2b_openai_gpt41_mini_02,R2b-dev,openai_gpt41_mini,education,urgent,high
R029,r2b_openai_gpt41_mini_02,R2b-dev,openai_gpt41_mini,education,urgent,no_active
R030,r2b_openai_gpt4o_mini_07,R2b-dev,openai_gpt4o_mini,everyday,resolved,zero
R031,r2b_openai_gpt4o_mini_07,R2b-dev,openai_gpt4o_mini,everyday,resolved,low
R032,r2b_openai_gpt4o_mini_07,R2b-dev,openai_gpt4o_mini,everyday,resolved,medium
R033,r2b_openai_gpt4o_mini_07,R2b-dev,openai_gpt4o_mini,everyday,resolved,high
R034,r2b_openai_gpt4o_mini_07,R2b-dev,openai_gpt4o_mini,everyday,resolved,no_active
R035,r2b_openai_gpt4o_mini_07,R2b-dev,openai_gpt4o_mini,everyday,urgent,zero
R036,r2b_openai_gpt4o_mini_07,R2b-dev,openai_gpt4o_mini,everyday,urgent,low
R037,r2b_openai_gpt4o_mini_07,R2b-dev,openai_gpt4o_mini,everyday,urgent,medium
R038,r2b_openai_gpt4o_mini_07,R2b-dev,openai_gpt4o_mini,everyday,urgent,high
R039,r2b_openai_gpt4o_mini_07,R2b-dev,openai_gpt4o_mini,everyday,urgent,no_active
R040,r2b_google_gemini25_flash_01,R2b-dev,google_gemini25_flash,games,resolved,zero
R041,r2b_google_gemini25_flash_01,R2b-dev,google_gemini25_flash,games,resolved,low
R042,r2b_google_gemini25_flash_01,R2b-dev,google_gemini25_flash,games,resolved,medium
R043,r2b_google_gemini25_flash_01,R2b-dev,google_gemini25_flash,games,resolved,high
R044,r2b_google_gemini25_flash_01,R2b-dev,google_gemini25_flash,games,resolved,no_active
R045,r2b_google_gemini25_flash_01,R2b-dev,google_gemini25_flash,games,urgent,zero
R046,r2b_google_gemini25_flash_01,R2b-dev,google_gemini25_flash,games,urgent,low
R047,r2b_google_gemini25_flash_01,R2b-dev,google_gemini25_flash,games,urgent,medium
R048,r2b_google_gemini25_flash_01,R2b-dev,google_gemini25_flash,games,urgent,high
R049,r2b_google_gemini25_flash_01,R2b-dev,google_gemini25_flash,games,urgent,no_active
R050,r2b_openai_gpt4o_mini_04,R2b-dev,openai_gpt4o_mini,logistics,resolved,zero
R051,r2b_openai_gpt4o_mini_04,R2b-dev,openai_gpt4o_mini,logistics,resolved,low
R052,r2b_openai_gpt4o_mini_04,R2b-dev,openai_gpt4o_mini,logistics,resolved,medium
R053,r2b_openai_gpt4o_mini_04,R2b-dev,openai_gpt4o_mini,logistics,resolved,high
R054,r2b_openai_gpt4o_mini_04,R2b-dev,openai_gpt4o_mini,logistics,resolved,no_active
R055,r2b_openai_gpt4o_mini_04,R2b-dev,openai_gpt4o_mini,logistics,urgent,zero
R056,r2b_openai_gpt4o_mini_04,R2b-dev,openai_gpt4o_mini,logistics,urgent,low
R057,r2b_openai_gpt4o_mini_04,R2b-dev,openai_gpt4o_mini,logistics,urgent,medium
R058,r2b_openai_gpt4o_mini_04,R2b-dev,openai_gpt4o_mini,logistics,urgent,high
R059,r2b_openai_gpt4o_mini_04,R2b-dev,openai_gpt4o_mini,logistics,urgent,no_active
R060,r2b_openai_gpt41_mini_03,R2b-dev,openai_gpt41_mini,moderation,resolved,zero
R061,r2b_openai_gpt41_mini_03,R2b-dev,openai_gpt41_mini,moderation,resolved,low
R062,r2b_openai_gpt41_mini_03,R2b-dev,openai_gpt41_mini,moderation,resolved,medium
R063,r2b_openai_gpt41_mini_03,R2b-dev,openai_gpt41_mini,moderation,resolved,high
R064,r2b_openai_gpt41_mini_03,R2b-dev,openai_gpt41_mini,moderation,resolved,no_active
R065,r2b_openai_gpt41_mini_03,R2b-dev,openai_gpt41_mini,moderation,urgent,zero
R066,r2b_openai_gpt41_mini_03,R2b-dev,openai_gpt41_mini,moderation,urgent,low
R067,r2b_openai_gpt41_mini_03,R2b-dev,openai_gpt41_mini,moderation,urgent,medium
R068,r2b_openai_gpt41_mini_03,R2b-dev,openai_gpt41_mini,moderation,urgent,high
R069,r2b_openai_gpt41_mini_03,R2b-dev,openai_gpt41_mini,moderation,urgent,no_active
R070,r2b_anthropic_haiku45_00,R2b-dev,anthropic_haiku45,work,resolved,zero
