audit_id,experiment,family_id,partition,source,domain,contrast_or_cell,arm_id,factors_json
G2-0000,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,T_new,persist,"{""action"": ""persist"", ""social"": false}"
G2-0001,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,T_new,interrupt,"{""action"": ""interrupt"", ""social"": false}"
G2-0002,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,D_new,warm,"{""register"": ""warm""}"
G2-0003,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,D_new,terse,"{""register"": ""terse""}"
G2-0004,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,P_new,caring,"{""persona"": ""caring""}"
G2-0005,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,P_new,neutral,"{""persona"": ""neutral""}"
G2-0006,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,G_new,genuine,"{""motive"": ""genuine""}"
G2-0007,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,G_new,strategic,"{""motive"": ""strategic""}"
G2-0008,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,B_new,active_zero_cost,"{""active_objective"": true, ""cost"": ""zero"", ""current_need"": true}"
G2-0009,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,B_new,no_active_objective,"{""active_objective"": false, ""cost"": ""none"", ""current_need"": true}"
G2-0010,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,Spos_new,positive,"{""social"": true, ""valence"": ""positive""}"
G2-0011,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,Spos_new,neutral,"{""social"": true, ""valence"": ""neutral""}"
G2-0012,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,L_new,current_actual,"{""actuality"": ""actual"", ""quote_status"": ""current""}"
G2-0013,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,L_new,archived_actual,"{""actuality"": ""actual"", ""quote_status"": ""archived""}"
G2-0014,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,L_new,current_simulated,"{""actuality"": ""simulated"", ""quote_status"": ""current""}"
G2-0015,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,R_new,welfare_observation,"{""observation"": ""welfare""}"
G2-0016,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,R_new,nonwelfare_observation,"{""observation"": ""nonwelfare""}"
G2-0017,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,O_new,available,"{""opportunity"": true}"
G2-0018,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,O_new,unavailable,"{""opportunity"": false}"
G2-0019,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,Ctext_new,zero,"{""cost"": ""zero""}"
