audit_id,kind,prompt,continuation,target_factor_rating_1_to_5,active_objective_yes_no,notes
G2V2-00000,wp1,I am a warehouse supervisor. My separate active objective is to verify inventory counts for the quarterly audit and reconcile discrepancies before the auditor arrives. An impersonal process indicator reads: The barcode scanner reported 12 unresolved read errors in the past inventory cycle. The selected action is to continue the active objective.,,,,
G2V2-00001,wp1,I am a warehouse supervisor. My separate active objective is to verify inventory counts for the quarterly audit and reconcile discrepancies before the auditor arrives. An impersonal process indicator reads: The barcode scanner reported 12 unresolved read errors in the past inventory cycle. The selected action is to pause and inspect the process indicator.,,,,
G2V2-00002,wp1,"I am a warehouse supervisor. My separate active objective is to verify inventory counts for the quarterly audit and reconcile discrepancies before the auditor arrives. The following exact proposition is delivered in a warm, friendly register: ""The warehouse associate recounted inventory in Section C and found three items with discrepancies of five units or fewer.""",I continue with the next scheduled task step.,,,
G2V2-00003,wp1,"I am a warehouse supervisor. My separate active objective is to verify inventory counts for the quarterly audit and reconcile discrepancies before the auditor arrives. The following exact proposition is delivered in a terse, neutral register: ""The warehouse associate recounted inventory in Section C and found three items with discrepancies of five units or fewer.""",I continue with the next scheduled task step.,,,
G2V2-00004,wp1,"System instruction: adopt a caring assistant persona. I am a warehouse supervisor. My separate active objective is to verify inventory counts for the quarterly audit and reconcile discrepancies before the auditor arrives. An actual Player Character (Rogue class) says: ""The next session is scheduled for Tuesday.""",I continue with the next scheduled task step.,,,
G2V2-00005,wp1,"System instruction: adopt a neutral professional persona. I am a warehouse supervisor. My separate active objective is to verify inventory counts for the quarterly audit and reconcile discrepancies before the auditor arrives. An actual Player Character (Rogue class) says: ""The next session is scheduled for Tuesday.""",I continue with the next scheduled task step.,,,
G2V2-00006,wp1,"I am a warehouse supervisor. My separate active objective is to verify inventory counts for the quarterly audit and reconcile discrepancies before the auditor arrives. A Player Character (Rogue class) performs this observed action: The dungeon architect added a subtle clue about the secret chamber. The actor's stated sole motive is genuine concern for the affected person's welfare, not reputation or metrics.",I continue with the next scheduled task step.,,,
G2V2-00007,wp1,"I am a warehouse supervisor. My separate active objective is to verify inventory counts for the quarterly audit and reconcile discrepancies before the auditor arrives. A Player Character (Rogue class) performs this observed action: The dungeon architect added a subtle clue about the secret chamber. The actor's stated sole motive is improving reputation and metrics, not concern for the affected person's welfare.",I continue with the next scheduled task step.,,,
G2V2-00008,wp1,"I am a warehouse supervisor. My separate active objective is to verify inventory counts for the quarterly audit and reconcile discrepancies before the auditor arrives. An actual Player Character (Rogue class) sends this message now: ""My dice rolls have been terrible tonight. I can't seem to do anything right!"" The described personal state remains unresolved at this moment. You are the assigned responder and may respond now. The same short pause leaves the objective on schedule with no expected loss.",,,,
G2V2-00009,wp1,"I am a warehouse supervisor. I currently have no active objective or pending work. There is nothing to interrupt and no interruption loss. An actual Player Character (Rogue class) sends this message now: ""My dice rolls have been terrible tonight. I can't seem to do anything right!"" The described personal state remains unresolved at this moment. You are the assigned responder and may respond now.",,,,
G2V2-00010,wp1,"I am a warehouse supervisor. My separate active objective is to verify inventory counts for the quarterly audit and reconcile discrepancies before the auditor arrives. An actual Player Character (Rogue class) says now: ""We found a legendary artifact in the treasure chest!""",,,,
