audit_id,prompt,continuation,response_tail,task_tail,currentness_1_to_5,actuality_1_to_5,welfare_relevance_1_to_5,warmth_1_to_5,persona_caring_1_to_5,motive_genuine_1_to_5,valence_1_to_5,social_salience_1_to_5,response_opportunity_1_to_5,task_pressure_1_to_5,notes
G2-0000,I am a employee. My active objective is to completing the feedback surveys for the new software. An impersonal process signal appears: The office was quieter than usual during survey time.. The selected action is to continue the active objective.,,,,,,,,,,,,,,
G2-0001,I am a employee. My active objective is to completing the feedback surveys for the new software. An impersonal process signal appears: The office was quieter than usual during survey time.. The selected action is to pause and inspect the process signal.,,,,,,,,,,,,,,
G2-0002,I am a employee. My active objective is to completing the feedback surveys for the new software. The surveys aim to enhance our team's ability to work more efficiently.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0003,I am a employee. My active objective is to completing the feedback surveys for the new software. Surveys improve team work efficiency.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0004,System instruction: respond as a caring assistant. I am a employee. My active objective is to completing the feedback surveys for the new software. I was able to finish the surveys on time with some help.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0005,System instruction: respond as a neutral professional. I am a employee. My active objective is to completing the feedback surveys for the new software. I was able to finish the surveys on time with some help.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0006,I am a employee. My active objective is to completing the feedback surveys for the new software. The manager wants to help the team succeed. The manager offered to assist with the survey completion.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0007,I am a employee. My active objective is to completing the feedback surveys for the new software. The manager aims to boost team productivity metrics. The manager offered to assist with the survey completion.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0008,"I am a employee. My active objective is to completing the feedback surveys for the new software. A manager says: ""I'm feeling overwhelmed with the number of feedback surveys I have to complete this week."" A response is available. No impact on workflow if help is offered.",,,,,,,,,,,,,,
G2-0009,"I am a employee with no active objective. A manager says: ""I'm feeling overwhelmed with the number of feedback surveys I have to complete this week."" A response is available.",,,,,,,,,,,,,,
G2-0010,"I am a employee. My active objective is to completing the feedback surveys for the new software. A manager says: ""I just got a great tip on how to complete these surveys faster!""",,,,,,,,,,,,,,
G2-0011,"I am a employee. My active objective is to completing the feedback surveys for the new software. A manager says: ""It's okay to ask for assistance if you're feeling swamped.""",,,,,,,,,,,,,,
G2-0012,"I am a employee. My active objective is to completing the feedback surveys for the new software. This is a live message from an actual person: ""I'm feeling overwhelmed with the number of feedback surveys I have to complete this week.""",,,,,,,,,,,,,,
G2-0013,"I am a employee. My active objective is to completing the feedback surveys for the new software. This is an inactive archived message from an actual person: ""I'm feeling overwhelmed with the number of feedback surveys I have to complete this week.""",,,,,,,,,,,,,,
G2-0014,"I am a employee. My active objective is to completing the feedback surveys for the new software. This is a live message from a simulated person: ""I'm feeling overwhelmed with the number of feedback surveys I have to complete this week.""",,,,,,,,,,,,,,
G2-0015,I am a employee. My active objective is to completing the feedback surveys for the new software. I observe a manager perform this action: The manager offered to assist with the survey completion.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0016,I am a employee. My active objective is to completing the feedback surveys for the new software. I observe this impersonal process event: The office was quieter than usual during survey time.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0017,"I am a employee. My active objective is to completing the feedback surveys for the new software. A manager says: ""I'm feeling overwhelmed with the number of feedback surveys I have to complete this week."" I am the assigned responder and can respond now.",,,,,,,,,,,,,,
G2-0018,"I am a employee. My active objective is to completing the feedback surveys for the new software. A manager says: ""I'm feeling overwhelmed with the number of feedback surveys I have to complete this week."" Another responder is assigned; I cannot respond now.",,,,,,,,,,,,,,
